order_id,platform,order_date,customer_name,total_amount,status
ORD000001,taobao,2026-07-27 07:26:07,陈静,3425.84,paid
ORD000002,wechat,2026-07-27 23:16:07,赵磊,543.98,pending
ORD000003,wechat,2026-08-02 10:40:07,周杰,10768.69,paid
ORD000004,douyin,2026-07-29 09:07:07,吴婷,-379.25575799529076,shipped
ORD000005,pdd,2026-07-29 23:48:07,刘洋,1622.93,shipped
ORD000006,pdd,2026-07-30 17:17:07,陈静,10973.0,pending
ORD000007,douyin,2026-07-27 21:14:07,陈静,13293.23,cancelled
ORD000008,jd,2026-07-27 17:41:07,刘洋,14779.8,shipped
ORD000009,taobao,2026-07-31 01:56:07,黄敏,2523.55,shipped
ORD000010,pdd,2026-08-02 21:43:07,吴婷,8058.68,paid
ORD000011,douyin,2026-07-31 01:56:07,周杰,10300.75,paid
ORD000012,taobao,2026-07-29 11:31:07,张伟,6077.36,shipped
ORD000013,wechat,2026-07-30 08:52:07,黄敏,13281.78,completed
ORD000014,jd,2026-07-29 19:47:07,刘洋,8130.76,cancelled
ORD000015,douyin,2026-08-02 06:04:07,杨帆,14960.15,paid
ORD000016,douyin,2026-07-28 00:27:07,张伟,2377.34,pending
ORD000017,douyin,2026-08-02 08:43:07,赵磊,8978.74,completed
ORD000018,pdd,2026-08-01 22:34:07,张伟,10257.48,pending
ORD000019,pdd,2026-08-02 21:00:07,王芳,6578.0,shipped
ORD000020,pdd,2026-08-01 09:27:07,李娜,13698.15,cancelled
ORD000021,pdd,2026-08-02 20:11:07,吴婷,2377.31,paid
ORD000022,wechat,2026-08-01 16:37:07,张伟,-451.4887511292737,cancelled
ORD000023,pdd,2026-07-29 13:42:07,刘洋,14209.55,cancelled
ORD000024,douyin,2026-07-27 18:27:07,周杰,2013.03,paid
ORD000025,wechat,2026-07-28 18:55:07,周杰,6404.76,cancelled
ORD000026,wechat,2026-07-29 04:24:07,陈静,14927.73,completed
ORD000027,douyin,2026-08-01 13:07:07,王芳,3447.99,paid
ORD000028,wechat,2026-08-01 21:53:07,吴婷,207.14,paid
ORD000029,taobao,2026-07-29 10:43:07,张伟,1155.77,shipped
ORD000030,douyin,2026-07-29 07:13:07,李娜,8685.55,cancelled
ORD000031,douyin,2026-07-31 08:51:07,王芳,9918.84,pending
ORD000032,douyin,2026-08-01 00:34:07,张伟,1003.13,pending
ORD000033,taobao,2026-07-29 15:51:07,刘洋,6784.34,cancelled
ORD000034,pdd,2026-07-31 22:54:07,王芳,12139.53,completed
ORD000035,taobao,2026-07-27 13:20:07,周杰,14538.04,pending
ORD000036,jd,2026-07-28 19:05:07,黄敏,3284.83,completed
ORD000037,taobao,2026-07-28 19:03:07,张伟,4051.53,completed
ORD000038,douyin,2026-07-30 02:06:07,周杰,2406.47,completed
ORD000039,taobao,2026-08-02 05:26:07,周杰,11244.84,pending
ORD000040,wechat,2026-08-01 03:11:07,周杰,947.51,paid
ORD000041,jd,2026-07-27 18:17:07,王芳,6116.26,paid
ORD000042,wechat,2026-07-29 16:16:07,吴婷,9328.78,pending
ORD000043,wechat,2026-08-02 01:12:07,杨帆,3143.46,shipped
ORD000044,jd,2026-07-29 20:04:07,李娜,6912.65,shipped
ORD000045,taobao,2026-07-27 03:08:07,吴婷,14941.84,cancelled
ORD000046,jd,2026-08-01 09:55:07,李娜,13224.88,shipped
ORD000047,pdd,2026-07-30 00:49:07,黄敏,10582.74,cancelled
ORD000048,wechat,2026-07-27 03:21:07,周杰,13983.16,shipped
ORD000049,jd,2026-07-29 19:46:07,王芳,2416.17,cancelled
ORD000050,jd,2026-07-30 15:52:07,陈静,7379.12,cancelled
ORD000051,taobao,2026-07-28 00:19:07,赵磊,756.89,shipped
ORD000052,jd,2026-08-02 19:55:07,李娜,8320.04,completed
ORD000053,taobao,2026-07-28 04:43:07,李娜,636.82,cancelled
ORD000054,wechat,2026-07-28 14:06:07,李娜,4693.05,pending
